Tytuł,Artysta
GREATEST HITS,ABBA
21,ADELE
JAGGED LITTLE PILL,ALANIS MORISSETTE
BACK TO BLACK,AMY WINEHOUSE
SGT PEPPER'S LONELY HEARTS CLUB BAND,BEATLES
LEGEND,BOB MARLEY & THE WAILERS
PARACHUTES,COLDPLAY
TALK ON CORNERS,CORRS
WHITE LADDER,DAVID GRAY
NO ANGEL,DIDO
BROTHERS IN ARMS,DIRE STRAITS
X,ED SHEERAN
THE MARSHALL MATHERS LP,EMINEM
RUMOURS,FLEETWOOD MAC
LADIES & GENTLEMEN - THE BEST OF,GEORGE MICHAEL
BACK TO BEDLAM,JAMES BLUNT
THE WAR OF THE WORLDS,JEFF WAYNE
HOPES AND FEARS,KEANE
ONLY BY THE NIGHT,KINGS OF LEON
THE FAME,LADY GAGA
SPIRIT,LEONA LEWIS
THE IMMACULATE COLLECTION,MADONNA
BAT OUT OF HELL,MEAT LOAF
CRAZY LOVE,MICHAEL BUBLE
THRILLER,MICHAEL JACKSON
TUBULAR BELLS,MIKE OLDFIELD
COME AWAY WITH ME,NORAH JONES
WHAT'S THE STORY MORNING GLORY,OASIS
THE SOUND OF MUSIC,ORIGINAL CAST RECORDING
GREASE,ORIGINAL SOUNDTRACK
GRACELAND,PAUL SIMON
BUT SERIOUSLY,PHIL COLLINS
THE DARK SIDE OF THE MOON,PINK FLOYD
GREATEST HITS,QUEEN
AUTOMATIC FOR THE PEOPLE,REM
I'VE BEEN EXPECTING YOU,ROBBIE WILLIAMS
SCISSOR SISTERS,SCISSOR SISTERS
COME ON OVER,SHANIA TWAIN
BRIDGE OVER TROUBLED WATER,SIMON & GARFUNKEL
STARS,SIMPLY RED
EYES OPEN,SNOW PATROL
SPICE,SPICE GIRLS
NEVER FORGET - THE ULTIMATE COLLECTION,TAKE THAT
TRACY CHAPMAN,TRACY CHAPMAN
THE MAN WHO,TRAVIS
THE JOSHUA TREE,U2
URBAN HYMNS,VERVE
